Feature,Importance
customerID_5143-WMWOG,0.0002839056041104018
customerID_5515-IDEJJ,0.0002826719435091787
customerID_4174-LPGTI,0.00028232029389227377
customerID_3705-PSNGL,0.00028222223322478676
customerID_4612-THJBS,0.00028197344828753955
customerID_8624-GIOUT,0.0002806845227905234
customerID_6599-RCLCJ,0.00028063128155812246
customerID_9063-ZGTUY,0.0002802484105390897
customerID_5440-FLBQG,0.0002792212283692383
customerID_4355-HBJHH,0.00027921492380134685
customerID_2225-ZRGSG,0.0002786386399820123
customerID_6990-YNRIO,0.0002783114104313009
customerID_7839-QRKXN,0.0002779365067790861
customerID_7394-LWLYN,0.00027742495841297205
customerID_4322-RCYMT,0.0002774084073151002
customerID_7951-QKZPL,0.00027697187436687175
customerID_7853-GVUDZ,0.0002769532024550416
customerID_6302-JGYRJ,0.00027442498196141615
customerID_3318-NMQXL,0.0002742510158428274
customerID_0117-LFRMW,0.00027323671374408233
customerID_6797-LNAQX,0.00027270044303516575
customerID_8079-XRJRS,0.00027269385028000825
customerID_9249-FXSCK,0.000272398134164633
customerID_4749-OJKQU,0.0002716709805032106
customerID_1725-MIMXW,0.0002716669145682931
customerID_1444-VVSGW,0.0002713189238606875
customerID_6289-CPNLD,0.00027113205740748593
customerID_8166-ZZTFS,0.0002711311960416578
customerID_1585-MQSSU,0.00027108450624718176
customerID_6121-VZNQB,0.0002704332961645727
customerID_0761-AETCS,0.00026987032658417286
customerID_0565-IYCGT,0.00026983631845337047
customerID_0112-QWPNC,0.0002691788577442189
customerID_2789-HQBOU,0.0002689538703954793
customerID_5876-HZVZM,0.0002686381477436902
customerID_3870-MQAMG,0.00026850564647529896
customerID_3571-RFHAR,0.0002684282165876609
customerID_7893-IXHRQ,0.00026770707130622026
customerID_5032-MIYKT,0.0002675420066403968
customerID_9412-ARGBX,0.0002670522060840304
customerID_0617-AQNWT,0.00026681988620436587
customerID_2115-BFTIW,0.0002660019425403542
customerID_5616-PRTNT,0.0002649043956144103
customerID_3090-HAWSU,0.0002646356209444098
customerID_7762-URZQH,0.0002623294631625301
customerID_9717-QEBGU,0.0002620404400243651
customerID_6769-DCQLI,0.0002618807855614749
customerID_5028-HTLJB,0.0002616838612515252
customerID_9079-YEXQJ,0.00026167258552203354
customerID_4234-XTNEA,0.000261269868182767
customerID_0280-XJGEX,0.0002611819836751671
customerID_6982-UQZLY,0.00026095157530335773
customerID_1150-WFARN,0.00026091133977520483
customerID_4090-KPJIP,0.00026049827126246677
customerID_7083-YNSKY,0.00025970013593433337
customerID_0748-RDGGM,0.00025965804407470457
customerID_1120-BMWUB,0.0002588838205146651
customerID_3523-QRQLL,0.00025836393732126363
customerID_6214-EDAKZ,0.0002583032938955702
customerID_7410-KTVFV,0.000257885310463204
customerID_6615-ZGEDR,0.00025775020249634256
customerID_1197-BVMVG,0.000257345556563663
customerID_2565-JSLRY,0.00025721843993202145
customerID_0447-BEMNG,0.000257205804155725
customerID_4361-BKAXE,0.00025695961823013746
customerID_8809-RIHDD,0.00025663720030621914
customerID_2530-ENDWQ,0.0002563729538893463
customerID_7055-VKGDA,0.0002562050534897301
customerID_1493-AMTIE,0.0002557590513599547
customerID_9039-RBEEE,0.0002557496508045099
customerID_6860-YRJZP,0.0002556578265895008
customerID_7551-JOHTI,0.0002555968392227841
customerID_3422-GALYP,0.0002550071097248953
customerID_6770-XUAGN,0.0002547384540511649
customerID_3948-XHGNA,0.00025462251807534855
customerID_7541-YLXCL,0.00025425543269832243
customerID_6481-OGDOO,0.00025417941491276007
customerID_2321-OMBXY,0.00025413358946030037
customerID_0201-OAMXR,0.0002537730630124828
customerID_5174-RNGBH,0.00025368808638083414
customerID_5922-ABDVO,0.0002536362133063408
customerID_4576-CSAJH,0.00025348168302387634
customerID_1323-OOEPC,0.00025339521740692304
customerID_1596-BBVTG,0.0002531294915593597
customerID_6771-XWBDM,0.00025309316064694835
customerID_0363-QJVFX,0.0002522454543437149
customerID_2834-JRTUA,0.00025221941870722826
customerID_3815-SLMEF,0.00025216898327792766
customerID_0719-SYFRB,0.00025070693273522847
customerID_2011-TRQYE,0.00025051608961819047
customerID_3194-ORPIK,0.00025033275619226064
customerID_0406-BPDVR,0.00024947125699904485
customerID_9651-GTSAQ,0.00024857717345188414
customerID_4510-PYUSH,0.00024843016459845797
customerID_7619-ODSGN,0.0002482205181502884
customerID_4925-LMHOK,0.0002473831840628525
customerID_4307-KTUMW,0.00024729621654079824
customerID_5995-OIGLP,0.00024720737372790837
customerID_5510-BOIUJ,0.00024644600025933687
customerID_5089-IFSDP,0.000246335026859028
customerID_8840-DQLGN,0.0002461245600166333
customerID_8849-GYOKR,0.0002460514286770503
customerID_6270-OMFIW,0.00024588584723246354
customerID_8627-EHGIP,0.0002458282003817642
customerID_1452-VOQCH,0.0002457734617492262
customerID_5287-QWLKY,0.0002454883273042576
customerID_1265-XTECC,0.0002444704101808095
customerID_2037-SGXHH,0.0002444556550879608
customerID_1623-NLDOT,0.00024393001318917233
customerID_6357-JJPQT,0.00024379826812087946
customerID_2165-VOEGB,0.00024373702101417258
